Reporting period,Organization,Organisation Type,Cluster,Main Activity,Implementing Partners,Type of Relief materials,Mode of delivery,Region,District,Pcode,Traditional_Authority,Village,Camp,Start_date,End_date,Status,Program Type,Total Beneficiaries,Total Male Beneficiaries,Total Female Beneficiaries,Beneficiary Type,Comment
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,100 pieces Serving plates (Plastics),in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,100,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,100 pieces Drinking cups,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,100,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Shelter and Camp Management,Distribution of Items,,"3 rolls (100 m each) Plastic roofing sheets, 10 bluegum poles Poles, 5 kgs Roofing nails, 5 kgs Multi-purpose nails",in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,60,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Shelter and Camp Management,Distribution of Items,,0 Tents,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,100 Kgs Maize meal,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,5 Pails Usipa,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,100,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,5 Bails (250 packs) Soya pieces,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,250,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,5 litres Cooking oil,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,1 Pail Onion,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,2 Pails Tomotoes,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,30 pieces Cabbage,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,12 kgs (6 packs of 2kgs) Salt,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,24,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,1 bail (20 packets) Sugar,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,20,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,2 tap pails (With water nozzles) Hand-washing backets,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,3 tap pails (With water nozzles) Drinking water-backets,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,3 basins Washing backets (Clothes),in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,5 Cartons (152 tablets) Washing Soap (AZAM),in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,152,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,50 packs Sanitary pads,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,100 pieces Serving plates (Plastics),in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,100,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,100 pieces Drinking cups,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,100,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Shelter and Camp Management,Distribution of Items,,"3 rolls (100 m each) Plastic roofing sheets, 10 bluegum poles Poles, 5 kgs Roofing nails, 5 kgs Multi-purpose nails",in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,60,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Shelter and Camp Management,Distribution of Items,,0 Tents,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,10-Mar-19,,Ongoing,Emergency Response,,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,100 Kgs Maize meal,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Chizimba camp,16-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,3 Bails (250 packs) Soya pieces,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Chizimba camp,16-Mar-19,,Ongoing,Emergency Response,250,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,5 litres Cooking oil,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Chizimba camp,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,1 bail (20 packets) Sugar,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Chizimba camp,16-Mar-19,,Ongoing,Emergency Response,20,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,1 Cartons (72 tablets) Washing Soap (Sunshine),in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Chizimba camp,16-Mar-19,,Ongoing,Emergency Response,72,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,50 packs Sanitary pads,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Chizimba camp,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,100 Kgs Maize meal,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Milala,16-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,3 Bails (250 packs) Soya pieces,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Milala,16-Mar-19,,Ongoing,Emergency Response,250,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,5 litres Cooking oil,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Milala,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,1 bail (20 packets) Sugar,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Milala,16-Mar-19,,Ongoing,Emergency Response,20,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,1 Cartons (72 tablets) Washing Soap (Sunshine),in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Milala,16-Mar-19,,Ongoing,Emergency Response,72,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,50 packs Sanitary pads,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Milala,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,100 Kgs Maize meal,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Pirimiti Admark,16-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,3 Bails (250 packs) Soya pieces,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Pirimiti Admark,16-Mar-19,,Ongoing,Emergency Response,250,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,5 litres Cooking oil,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Pirimiti Admark,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,1 bail (20 packets) Sugar,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Pirimiti Admark,16-Mar-19,,Ongoing,Emergency Response,20,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,1 Cartons (72 tablets) Washing Soap (Sunshine),in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Pirimiti Admark,16-Mar-19,,Ongoing,Emergency Response,72,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,50 packs Sanitary pads,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Pirimiti Admark,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,100 Kgs Maize meal,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Namachete camp,16-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,3 Bails (250 packs) Soya pieces,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Namachete camp,16-Mar-19,,Ongoing,Emergency Response,250,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,5 litres Cooking oil,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Namachete camp,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,1 bail (20 packets) Sugar,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Namachete camp,16-Mar-19,,Ongoing,Emergency Response,20,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,1 Cartons (72 tablets) Washing Soap (Sunshine),in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Namachete camp,16-Mar-19,,Ongoing,Emergency Response,72,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,50 packs Sanitary pads,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Namachete camp,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,100 Kgs Maize meal,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Phuwe camp,16-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,3 Bails (250 packs) Soya pieces,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Phuwe camp,16-Mar-19,,Ongoing,Emergency Response,250,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,5 litres Cooking oil,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Phuwe camp,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,1 bail (20 packets) Sugar,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Phuwe camp,16-Mar-19,,Ongoing,Emergency Response,20,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,1 Cartons (72 tablets) Washing Soap (Sunshine),in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Phuwe camp,16-Mar-19,,Ongoing,Emergency Response,72,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,50 packs Sanitary pads,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Phuwe camp,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,100 Kgs Maize meal,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,16-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,3 Bails (250 packs) Soya pieces,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,16-Mar-19,,Ongoing,Emergency Response,250,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,5 litres Cooking oil,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,1 bail (20 packets) Sugar,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,16-Mar-19,,Ongoing,Emergency Response,20,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,1 Cartons (72 tablets) Washing Soap (Sunshine),in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,16-Mar-19,,Ongoing,Emergency Response,72,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,50 packs Sanitary pads,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Muonekera camp,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,100 Kgs Maize meal,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Chinkwangwa,16-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,3 Bails (250 packs) Soya pieces,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Chinkwangwa,16-Mar-19,,Ongoing,Emergency Response,250,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,5 litres Cooking oil,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Chinkwangwa,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,20 Kg Salt,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Chinkwangwa,16-Mar-19,,Ongoing,Emergency Response,60,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,1 bail (20 packets) Sugar,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Chinkwangwa,16-Mar-19,,Ongoing,Emergency Response,20,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,1 Cartons (72 tablets) Washing Soap (Sunshine),in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Chinkwangwa,16-Mar-19,,Ongoing,Emergency Response,72,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,50 packs Sanitary pads,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Chinkwangwa,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,2 tap pails (With water nozzles) Hand-washing backets,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Chinkwangwa,10-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,3 tap pails (With water nozzles) Drinking water-backets,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Chinkwangwa,10-Mar-19,,Ongoing,Emergency Response,60,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,100 Kgs Maize meal,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Kathebwe,16-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,3 Bails (250 packs) Soya pieces,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Kathebwe,16-Mar-19,,Ongoing,Emergency Response,250,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,5 litres Cooking oil,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Kathebwe,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,20 Kg Salt,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Kathebwe,16-Mar-19,,Ongoing,Emergency Response,60,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,1 bail (20 packets) Sugar,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Kathebwe,16-Mar-19,,Ongoing,Emergency Response,20,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,1 Cartons (72 tablets) Washing Soap (Sunshine),in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Kathebwe,16-Mar-19,,Ongoing,Emergency Response,2452,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,50 packs Sanitary pads,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Kathebwe,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,2 tap pails (With water nozzles) Hand-washing backets,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Kathebwe,10-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,3 tap pails (With water nozzles) Drinking water-backets,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Kathebwe,10-Mar-19,,Ongoing,Emergency Response,60,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,100 Kgs Maize meal,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Makina,16-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,3 Bails (250 packs) Soya pieces,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Makina,16-Mar-19,,Ongoing,Emergency Response,250,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,5 litres Cooking oil,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Makina,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,20 Kg Salt,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Makina,16-Mar-19,,Ongoing,Emergency Response,60,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,1 bail (20 packets) Sugar,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Makina,16-Mar-19,,Ongoing,Emergency Response,20,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,1 Cartons (72 tablets) Washing Soap (Sunshine),in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Makina,16-Mar-19,,Ongoing,Emergency Response,72,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,50 packs Sanitary pads,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Makina,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,2 tap pails (With water nozzles) Hand-washing backets,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Makina,10-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,3 tap pails (With water nozzles) Drinking water-backets,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Makina,10-Mar-19,,Ongoing,Emergency Response,60,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,100 Kgs Maize meal,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Mwaiwathu,16-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,3 Bails (250 packs) Soya pieces,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Mwaiwathu,16-Mar-19,,Ongoing,Emergency Response,250,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,5 litres Cooking oil,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Mwaiwathu,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,20 Kg Salt,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Mwaiwathu,16-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,1 bail (20 packets) Sugar,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Mwaiwathu,16-Mar-19,,Ongoing,Emergency Response,20,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,1 Cartons (72 tablets) Washing Soap (Sunshine),in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Mwaiwathu,16-Mar-19,,Ongoing,Emergency Response,72,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,50 packs Sanitary pads,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Mwaiwathu,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,2 tap pails (With water nozzles) Hand-washing backets,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Mwaiwathu,16-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,3 tap pails (With water nozzles) Drinking water-backets,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Mwaiwathu,16-Mar-19,,Ongoing,Emergency Response,60,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,100 Kgs Maize meal,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Namatamba,16-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,3 Bails (250 packs) Soya pieces,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Namatamba,16-Mar-19,,Ongoing,Emergency Response,250,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,5 litres Cooking oil,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Namatamba,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,20 Kg Salt,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Namatamba,16-Mar-19,,Ongoing,Emergency Response,40,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,1 bail (20 packets) Sugar,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Namatamba,16-Mar-19,,Ongoing,Emergency Response,20,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,1 Cartons (72 tablets) Washing Soap (Sunshine),in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Namatamba,16-Mar-19,,Ongoing,Emergency Response,72,,,All people at the Camp,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Items,,50 packs Sanitary pads,in-kind,Southern Region,Zomba,MW303,TA Mwambo,,Namatamba,16-Mar-19,,Ongoing,Emergency Response,50,,,All people at the Camp,
